channel,timestamp,cleaned_text,tokens
Leyueqa,2025-06-19 12:41:01+00:00,Saachi 3 in 1 ORIGINAL የጁስየቡናየቅመም 16 litre high capacity plastic jar 2 speed control with pulse Full safety switch Powerful motor Ultra sharp blade Rotary switch for easy operate Plastic lined grinding mill ዋጋ 2900 ከነፃ ዲሊቨሪ ጋር አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B ባሉበት ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 0933334444 LeMazez_z 0946242424 Le_Mazez 0944109295 Lemaze_z,Saachi 3 in 1 ORIGINAL የጁስየቡናየቅመም 16 litre high capacity plastic jar 2 speed control with pulse Full safety switch Powerful motor Ultra sharp blade Rotary switch for easy operate Plastic lined grinding mill ዋጋ 2900 ከነፃ ዲሊቨሪ ጋር አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B ባሉበት ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 0933334444 LeMazez_z 0946242424 Le_Mazez 0944109295 Lemaze_z
Leyueqa,2025-06-19 08:12:15+00:00,Bamboo Trey 3pc Price 3300 ከነፃ ዲሊቨሪ ጋር 0933334444 LeMazez_z 0946242424 Le_Mazez 0944109295 Lemaze_z ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ,Bamboo Trey 3pc Price 3300 ከነፃ ዲሊቨሪ ጋር 0933334444 LeMazez_z 0946242424 Le_Mazez 0944109295 Lemaze_z ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ
Leyueqa,2025-06-19 05:45:13+00:00,ዉሃ ስርገትን ወደ ፍራሽ ዉስጥ እንዳይገባ እና አላስፈላጊ ሽታን እንዲሁም ድካምን የሚከላከል አንሶላ Mattress PROTECTOR POLYESTER MICROFIBER ለ 150 ለ 180 ከነፃ ዲሊቨሪ ጋር 3500 ብር አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B ባሉበት ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 0933334444 LeMazez_z 0946242424 Le_Mazez 0944109295 Lemaze_z,ዉሃ ስርገትን ወደ ፍራሽ ዉስጥ እንዳይገባ እና አላስፈላጊ ሽታን እንዲሁም ድካምን የሚከላከል አንሶላ Mattress PROTECTOR POLYESTER MICROFIBER ለ 150 ለ 180 ከነፃ ዲሊቨሪ ጋር 3500 ብር አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B ባሉበት ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 0933334444 LeMazez_z 0946242424 Le_Mazez 0944109295 Lemaze_z
Leyueqa,2025-06-18 11:03:35+00:00,Kitchen Oil proof Stickers ለኪችንዎ ግርማሞገስ የሚያላብስ ኪችንዎን ፅድት የሚያደርግ ለመሳቢያ ፣ ለካቢኔ ፣ ለኩሽና ፣ ለስላሳ የእንጨት ገጽና ግድግዳ ላይ የሚለጠፍ በራሱ የሚጣበቅ ውሃ የማያሳልፍ Waterproof የሆነ ስፋት 60cm5meter ሜትር ዋጋ 1200 ብር ሲያዙ ነፃ ዲሊቨሪ ሙቀትንእና እርጥበትን የሚቋቋም ለማፅዳት ቀላል 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B,Kitchen Oil proof Stickers ለኪችንዎ ግርማሞገስ የሚያላብስ ኪችንዎን ፅድት የሚያደርግ ለመሳቢያ ፣ ለካቢኔ ፣ ለኩሽና ፣ ለስላሳ የእንጨት ገጽና ግድግዳ ላይ የሚለጠፍ በራሱ የሚጣበቅ ውሃ የማያሳልፍ Waterproof የሆነ ስፋት 60cm5meter ሜትር ዋጋ 1200 ብር ሲያዙ ነፃ ዲሊቨሪ ሙቀትንእና እርጥበትን የሚቋቋም ለማፅዳት ቀላል 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B
Leyueqa,2025-06-18 08:38:20+00:00,SOKANY 4 IN 1 HAND BLENDER 300Watt ጉልበት ያለው የህፃናት ምግብ ለማዘጋጀት የሚፈለግ ጁስ፣ሽንኩርት፣ ስጋ እና አትክልቶችን ይፈጩበታል እንቁላልና ክሬም ይመቱበታል ዋጋ 4200 ብር ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 Leyustore 0944109295 Lemaze_z 0946242424 Le_Mazez,SOKANY 4 IN 1 HAND BLENDER 300Watt ጉልበት ያለው የህፃናት ምግብ ለማዘጋጀት የሚፈለግ ጁስ፣ሽንኩርት፣ ስጋ እና አትክልቶችን ይፈጩበታል እንቁላልና ክሬም ይመቱበታል ዋጋ 4200 ብር ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 Leyustore 0944109295 Lemaze_z 0946242424 Le_Mazez
Leyueqa,2025-06-18 06:01:15+00:00,70ሴሜ ድረስ የጎን ሳይዝ ያላቸዉ ለማንኛዉም ፍሪጅለኦቭንለዲፕ ፍሪዝ ማስቀመጥ ወይም በቀላሉ ማንቀሳቀስ የሚያስችል Adjustable Base For Washing amachine Refrigerator የፍሪጅ፣ ማስቀመጫ ማንቀሳቀሻ የራስዎን እና የዕቃዎን ደህንነት ይጠብቁ ℹ ለቤትዎ ቢሉ ለስራ ቦታ የሚሆን እያንዳንዳቸዉ ከ49_70 ሳሜ ድረስ መለጠጥ የሚችል height 10cm load 200kg ዋጋ 2200 ብር ከነፃ ዲሊቨሪ ጋር የሞተር አናስከፍልም ክፍያዎን_ ዕቃዉ _እጅዎ ሲደርስ_ከፈለጉ_በካሽ_አልያም_በሞባይል_ባንኪንግ_መፈፀም_ይችላሉ በተጨማሪ ከ_1000_ብር በላይ የሚተመኑ ሁለት_ዕቃዎችን_ ሲገዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ ያሉበት ድረስ በነፃ እናደርሳለን 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez,70ሴሜ ድረስ የጎን ሳይዝ ያላቸዉ ለማንኛዉም ፍሪጅለኦቭንለዲፕ ፍሪዝ ማስቀመጥ ወይም በቀላሉ ማንቀሳቀስ የሚያስችል Adjustable Base For Washing amachine Refrigerator የፍሪጅ፣ ማስቀመጫ ማንቀሳቀሻ የራስዎን እና የዕቃዎን ደህንነት ይጠብቁ ℹ ለቤትዎ ቢሉ ለስራ ቦታ የሚሆን እያንዳንዳቸዉ ከ49_70 ሳሜ ድረስ መለጠጥ የሚችል height 10cm load 200kg ዋጋ 2200 ብር ከነፃ ዲሊቨሪ ጋር የሞተር አናስከፍልም ክፍያዎን_ ዕቃዉ _እጅዎ ሲደርስ_ከፈለጉ_በካሽ_አልያም_በሞባይል_ባንኪንግ_መፈፀም_ይችላሉ በተጨማሪ ከ_1000_ብር በላይ የሚተመኑ ሁለት_ዕቃዎችን_ ሲገዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ ያሉበት ድረስ በነፃ እናደርሳለን 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez
Leyueqa,2025-06-17 14:27:10+00:00,storage bowl 4pcs ዋጋ 2100 ከነፃ ዲሊቨሪ ጋር በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B,storage bowl 4pcs ዋጋ 2100 ከነፃ ዲሊቨሪ ጋር በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B
Leyueqa,2025-06-17 10:48:34+00:00,የቡና ስኒዎች ከማስቀመጫ ጋር ዋጋ 6ፍሬ 2000 ከነፃ ዲሊቨሪ ጋር 12 ፍሬ 3600 ከነፃ ዲሊቨሪ ጋር በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez,የቡና ስኒዎች ከማስቀመጫ ጋር ዋጋ 6ፍሬ 2000 ከነፃ ዲሊቨሪ ጋር 12 ፍሬ 3600 ከነፃ ዲሊቨሪ ጋር በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez
Leyueqa,2025-06-17 08:52:38+00:00,8pcs Glass Kettle Set ማራኪ እና በዉብ ዲዛይን 14L የመያዝ አቅም ያለው ጆግ 6 መጠጫ ብርጭቆ ጋር ማቅረቢያ ሰርቪስ ለቤትዎ ተጨማሪ ድምቀት የሚሆን ዋጋ 3600 ከነፃ ዲሊቨሪ ጋር ከነፃ ቤት ማድረስ ጋር ያሉበት ድረስ በነፃ እናደርሳለን። በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez_z 0946242424 Le_Mazez 0944109295 Lemaze_z,8pcs Glass Kettle Set ማራኪ እና በዉብ ዲዛይን 14L የመያዝ አቅም ያለው ጆግ 6 መጠጫ ብርጭቆ ጋር ማቅረቢያ ሰርቪስ ለቤትዎ ተጨማሪ ድምቀት የሚሆን ዋጋ 3600 ከነፃ ዲሊቨሪ ጋር ከነፃ ቤት ማድረስ ጋር ያሉበት ድረስ በነፃ እናደርሳለን። በተጨማሪ ከ_1000_ብር በላይ የሆኑ ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን TmeLeyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez_z 0946242424 Le_Mazez 0944109295 Lemaze_z
Leyueqa,2025-06-17 05:59:20+00:00,ካዉያ Stronglite iron 25 Kg 1200W Heavy Weight Iron Box Gold Coloured Plate ዋጋ 2000 ነፃ ዲሊቨሪ አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B ቁጥር 2 __ 22 አውራሪስ ሆቴል አጠገብ በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ በ ግራ የሱቅ ቁጥር C10 ይደዉሉልን ባሉበት ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez,ካዉያ Stronglite iron 25 Kg 1200W Heavy Weight Iron Box Gold Coloured Plate ዋጋ 2000 ነፃ ዲሊቨሪ አድራሻ ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B ቁጥር 2 __ 22 አውራሪስ ሆቴል አጠገብ በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ በ ግራ የሱቅ ቁጥር C10 ይደዉሉልን ባሉበት ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 0933334444 LeMazez_z 0944109295 Lemaze_z 0946242424 Le_Mazez
