channel,timestamp,cleaned_text,tokens
nevacomputer,2025-06-11 13:56:52+00:00,LENOVO X1 YOGA Processor 11thGen Intel Core i71165G7 or i71185G7 4 cores8 threads 2847 GHz Turbo 12 MB cache Memory 16 GB LPDDR4x soldered nonupgradeable Storage 512 GB NVMe PCIe SSD Display 14 FHD 19201200 IPS 400 nits 10point multitouch Graphics Intel Iris Xe integrated Convertible Design 360 hinge use as laptop tablet tent or stand Pen Included Slim integrated stylus in chassis ideal for notetaking or drawing Ports 2 Thunderbolt 4 USB4 2 USBA 32 one AlwaysOn HDMI 20 audio jack Kensington Nano security slot Security TPM 20 fingerprint reader integrated power button optional IR camera privacy shutter Build Carbonfiber reinforced chassis MILSTD810H durability 1499 mm thick dimensions 314 223 mm rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333,LENOVO X1 YOGA Processor 11thGen Intel Core i71165G7 or i71185G7 4 cores8 threads 2847 GHz Turbo 12 MB cache Memory 16 GB LPDDR4x soldered nonupgradeable Storage 512 GB NVMe PCIe SSD Display 14 FHD 19201200 IPS 400 nits 10point multitouch Graphics Intel Iris Xe integrated Convertible Design 360 hinge use as laptop tablet tent or stand Pen Included Slim integrated stylus in chassis ideal for notetaking or drawing Ports 2 Thunderbolt 4 USB4 2 USBA 32 one AlwaysOn HDMI 20 audio jack Kensington Nano security slot Security TPM 20 fingerprint reader integrated power button optional IR camera privacy shutter Build Carbonfiber reinforced chassis MILSTD810H durability 1499 mm thick dimensions 314 223 mm rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333
nevacomputer,2025-06-09 21:37:09+00:00,Acer Nitro 5 Power Meets Performance Display 156 Full HD 19201080 IPS Panel 144Hz smooth gameplay crisp visuals Processor Intel Core i5 th Generation Strong performance for gaming multitasking and creative work Graphics Card NVIDIA GeForce RTX 3050 Ti 4GB GDDR6 Play modern games like GTA V FIFA COD Valorant and more Realtime Ray Tracing DLSS for stunning graphics Memory RAM 16GB DDR4 Upgradeable to 32GB No lag while switching apps or working on heavy tasks Storage 512GB SSD superfast bootup game load time Option to add extra HDD or SSD Cooling System Dualfan with Acer CoolBoost Technology Keeps your laptop cool during long gaming sessions Keyboard Build Redbacklit Keyboard stylish easy to game in low light Bold aggressive gaming design Ports Connectivity WiFi 6 Bluetooth 50 USBC HDMI RJ45 LAN USB 32 ports Battery Life Up to 5 hours depending on use Fastcharging with a 135W180W power adapter Audio DTSX Ultra 3D Spatial Audio Immersive sound for gaming and entertainment Weight Around 23kg tough yet portable for gamers Why Choose This Laptop The Acer Nitro 5 is not just a laptop its a powerful futureready machine built for gamers creators students and professionals alike With its RTX 3050 Ti graphics lightningfast SSD and a premium display it delivers a performance that punches way above its price Whether youre editing videos playing AAA games or working on demanding software this laptop can handle it all rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333,Acer Nitro 5 Power Meets Performance Display 156 Full HD 19201080 IPS Panel 144Hz smooth gameplay crisp visuals Processor Intel Core i5 th Generation Strong performance for gaming multitasking and creative work Graphics Card NVIDIA GeForce RTX 3050 Ti 4GB GDDR6 Play modern games like GTA V FIFA COD Valorant and more Realtime Ray Tracing DLSS for stunning graphics Memory RAM 16GB DDR4 Upgradeable to 32GB No lag while switching apps or working on heavy tasks Storage 512GB SSD superfast bootup game load time Option to add extra HDD or SSD Cooling System Dualfan with Acer CoolBoost Technology Keeps your laptop cool during long gaming sessions Keyboard Build Redbacklit Keyboard stylish easy to game in low light Bold aggressive gaming design Ports Connectivity WiFi 6 Bluetooth 50 USBC HDMI RJ45 LAN USB 32 ports Battery Life Up to 5 hours depending on use Fastcharging with a 135W180W power adapter Audio DTSX Ultra 3D Spatial Audio Immersive sound for gaming and entertainment Weight Around 23kg tough yet portable for gamers Why Choose This Laptop The Acer Nitro 5 is not just a laptop its a powerful futureready machine built for gamers creators students and professionals alike With its RTX 3050 Ti graphics lightningfast SSD and a premium display it delivers a performance that punches way above its price Whether youre editing videos playing AAA games or working on demanding software this laptop can handle it all rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333
nevacomputer,2025-06-04 08:36:54+00:00,Lenovo ThinkPad X1 Extreme Gen 2 Power Meets Portability Key Specifications Processor Intel Core i79750H 6 cores 12 threads up to 45 GHz Graphics NVIDIA GeForce GTX 1650 MaxQ with 4GB GDDR5 Memory 32GB DDR4 RAM expandable up to 64GB Storage 1TB PCIe NVMe SSD supports dual M2 drives Display 156 Full HD 1920 x 1080 IPS antiglare 300 nits Battery 4cell 80Wh Liion up to 6 hours of usage Weight Approximately 17 kg 375 lbs Features 2in1 Convertible Design Flexible 360degree hinge for laptop tablet tent or stand modes Connectivity WiFi 6 80211ax Bluetooth 50 Ports 2 x USBA 31 Gen 1 2 x Thunderbolt 3 USBC HDMI 20 SD card reader Security Fingerprint reader IR camera with ThinkShutter privacy cover Audio Dolby Atmos speaker system for immersive sound Ideal Use Cases Professionals Robust performance for multitasking and demanding applications Creatives Powerful GPU and highquality display for design and editing tasks Gamers Capable of handling modern games at medium to high settings Students Lightweight and durable for onthego learning and projects rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333,Lenovo ThinkPad X1 Extreme Gen 2 Power Meets Portability Key Specifications Processor Intel Core i79750H 6 cores 12 threads up to 45 GHz Graphics NVIDIA GeForce GTX 1650 MaxQ with 4GB GDDR5 Memory 32GB DDR4 RAM expandable up to 64GB Storage 1TB PCIe NVMe SSD supports dual M2 drives Display 156 Full HD 1920 x 1080 IPS antiglare 300 nits Battery 4cell 80Wh Liion up to 6 hours of usage Weight Approximately 17 kg 375 lbs Features 2in1 Convertible Design Flexible 360degree hinge for laptop tablet tent or stand modes Connectivity WiFi 6 80211ax Bluetooth 50 Ports 2 x USBA 31 Gen 1 2 x Thunderbolt 3 USBC HDMI 20 SD card reader Security Fingerprint reader IR camera with ThinkShutter privacy cover Audio Dolby Atmos speaker system for immersive sound Ideal Use Cases Professionals Robust performance for multitasking and demanding applications Creatives Powerful GPU and highquality display for design and editing tasks Gamers Capable of handling modern games at medium to high settings Students Lightweight and durable for onthego learning and projects rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333
nevacomputer,2025-06-04 06:06:15+00:00,HP Envy x360 14 14es1013dx Sleek 2in1 Convertible Laptop Key Specifications Processor Intel Core 5120U 10 cores 12 threads up to 50 GHz Memory 8GB DDR43200 MHz onboard Storage 1TB PCIe NVMe M2 SSD Display 14 FHD 1920x1080 IPS Touchscreen 300 nits 625 sRGB Graphics Intel Iris Xe Integrated OS Windows 11 Home Battery 3cell 43 Wh Liion Weight Approx 152 kg 335 lbs Color Natural Silver Aluminum Top Features 2in1 Convertible Design Use as laptop tablet tent or stand Backlit Keyboard Comfort in all lighting Fingerprint Reader Fast secure login HP True Vision 5MP Camera Clear video calls with noise reduction Poly Studio Audio Dual speakers with HP Audio Boost Connectivity WiFi 6E Bluetooth 53 Ports 1x USBC 10Gbps DisplayPort PD Sleep Charge 2x USBA 5Gbps 1x HDMI 21 1x HeadphoneMic Combo 1x MicroSD Card Reader 1x AC Smart Pin Ideal Use Cases Students Professionals Light fast and ideal for mobility presentations and study Content Creators Touchscreen hinge perfect for design sketching and editing Entertainment Enjoy shows movies and music in Full HD with rich sound Everyday Use Reliable for browsing emails documents multitasking rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333,HP Envy x360 14 14es1013dx Sleek 2in1 Convertible Laptop Key Specifications Processor Intel Core 5120U 10 cores 12 threads up to 50 GHz Memory 8GB DDR43200 MHz onboard Storage 1TB PCIe NVMe M2 SSD Display 14 FHD 1920x1080 IPS Touchscreen 300 nits 625 sRGB Graphics Intel Iris Xe Integrated OS Windows 11 Home Battery 3cell 43 Wh Liion Weight Approx 152 kg 335 lbs Color Natural Silver Aluminum Top Features 2in1 Convertible Design Use as laptop tablet tent or stand Backlit Keyboard Comfort in all lighting Fingerprint Reader Fast secure login HP True Vision 5MP Camera Clear video calls with noise reduction Poly Studio Audio Dual speakers with HP Audio Boost Connectivity WiFi 6E Bluetooth 53 Ports 1x USBC 10Gbps DisplayPort PD Sleep Charge 2x USBA 5Gbps 1x HDMI 21 1x HeadphoneMic Combo 1x MicroSD Card Reader 1x AC Smart Pin Ideal Use Cases Students Professionals Light fast and ideal for mobility presentations and study Content Creators Touchscreen hinge perfect for design sketching and editing Entertainment Enjoy shows movies and music in Full HD with rich sound Everyday Use Reliable for browsing emails documents multitasking rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333
nevacomputer,2025-06-04 05:56:57+00:00,HP Pavilion Plus 16 Premium Power in Your Hands Intel Core i7 13th Gen Supercharged performance i713700H 14 cores 20 threads up to 50 GHz 16GB RAM Lagfree multitasking 1TB SSD Fast boot storage 16 2K Display 2560 x 1600 Sharp vibrant visuals 100 sRGB 120Hz Ideal for design creative work 115 hrs Battery Allday productivity 5MP IR Camera Clear and secure video calls BO Tuned Speakers Immersive audio experience WiFi 6 Thunderbolt 4 Fast modern connectivity Backlit Keyboard Comfort and style day or night How It Helps You The HP Pavilion Plus 16 is built for people who demand performance with style Its not just a laptopits a tool for dreamers doers and creators For Professionals Run multiple apps attend HD meetings get things done fast For Students Research write create watch lectures on a vibrant screen For Creators Edit videos retouch photos and design with color accuracy For Developers Code faster test quicker and multitask like a pro For Movie Buffs Enjoy series movies in crystalclear 2K resolution rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333,HP Pavilion Plus 16 Premium Power in Your Hands Intel Core i7 13th Gen Supercharged performance i713700H 14 cores 20 threads up to 50 GHz 16GB RAM Lagfree multitasking 1TB SSD Fast boot storage 16 2K Display 2560 x 1600 Sharp vibrant visuals 100 sRGB 120Hz Ideal for design creative work 115 hrs Battery Allday productivity 5MP IR Camera Clear and secure video calls BO Tuned Speakers Immersive audio experience WiFi 6 Thunderbolt 4 Fast modern connectivity Backlit Keyboard Comfort and style day or night How It Helps You The HP Pavilion Plus 16 is built for people who demand performance with style Its not just a laptopits a tool for dreamers doers and creators For Professionals Run multiple apps attend HD meetings get things done fast For Students Research write create watch lectures on a vibrant screen For Creators Edit videos retouch photos and design with color accuracy For Developers Code faster test quicker and multitask like a pro For Movie Buffs Enjoy series movies in crystalclear 2K resolution rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333
nevacomputer,2025-05-09 15:26:00+00:00,WORKSTATION student offer europa standard DELL PRECISION 156 inch FHD CORE I7 9th gen 32GB 𝗗𝗗𝗥4 1TB SSD 4GB NIVIDIA QUADRO T1000 GTX 1650 𝘄𝗶𝗻𝗱𝗼𝘄𝘀 11 pro 22H2 5hr plus Price 92000 birr rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333 አድራሻ መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ wwwnevacomputercom ቴሌግራም ቻናላችንን ይቀላቀሉ httpstmenevacomputer,WORKSTATION student offer europa standard DELL PRECISION 156 inch FHD CORE I7 9th gen 32GB 𝗗𝗗𝗥4 1TB SSD 4GB NIVIDIA QUADRO T1000 GTX 1650 𝘄𝗶𝗻𝗱𝗼𝘄𝘀 11 pro 22H2 5hr plus Price 92000 birr rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333 አድራሻ መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ wwwnevacomputercom ቴሌግራም ቻናላችንን ይቀላቀሉ httpstmenevacomputer
nevacomputer,2025-04-20 09:34:45+00:00,ለመላዉ የክርስትና እምነት ተከታይ በሙሉ እንኳንለብርሃነ ትንሳኤዉ በሰላም አደረሳችሁመጪዉ ዘመን የሰላም የአንድነት የመተሳሰብና የበረከት እንዲሆንልን እንመኛለን,ለመላዉ የክርስትና እምነት ተከታይ በሙሉ እንኳንለብርሃነ ትንሳኤዉ በሰላም አደረሳችሁመጪዉ ዘመን የሰላም የአንድነት የመተሳሰብና የበረከት እንዲሆንልን እንመኛለን
nevacomputer,2025-04-12 07:57:21+00:00,DONT MISS IT HP ENVY X360 156 FHD THIN BEZEL CORE I7 12th generation 16 GB 𝗗𝗗𝗥4 512 GB SSD raphics Intel UHD window 11 pro 8HR Price 95000 birr rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333 አድራሻ መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ wwwnevacomputercom ቴሌግራም ቻናላችንን ይቀላቀሉ httpstmenevacomputer,DONT MISS IT HP ENVY X360 156 FHD THIN BEZEL CORE I7 12th generation 16 GB 𝗗𝗗𝗥4 512 GB SSD raphics Intel UHD window 11 pro 8HR Price 95000 birr rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333 አድራሻ መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ wwwnevacomputercom ቴሌግራም ቻናላችንን ይቀላቀሉ httpstmenevacomputer
nevacomputer,2025-04-12 07:54:44+00:00,Very portable and can do multitask HP HP ELITEBOOK 133 CORE I7 10th generation 16 GB 𝗗𝗗𝗥4 512 GB SSD raphics intel uhd graphics window 11 pro 6HR plus new Price 57000 birr rasneva ለአጭር መልእክት ይደዉሉ አድራሻ መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ wwwnevacomputercom ቴሌግራም ቻናላችንን ይቀላቀሉ httpstmenevacomputer,Very portable and can do multitask HP HP ELITEBOOK 133 CORE I7 10th generation 16 GB 𝗗𝗗𝗥4 512 GB SSD raphics intel uhd graphics window 11 pro 6HR plus new Price 57000 birr rasneva ለአጭር መልእክት ይደዉሉ አድራሻ መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ wwwnevacomputercom ቴሌግራም ቻናላችንን ይቀላቀሉ httpstmenevacomputer
nevacomputer,2025-04-12 07:52:36+00:00,New Arrivals And Genuine 2024 14th Generation intel CORE ULTRA 5 HP ENVY 2024 Featuring the Latest Intel Core Ultra 5 Processor 155U 12M Cache up to 480 GHz 12 Core and 14 CPU Model Hp envy 16 x360 convertible Condition BRAND NEW GRAPHICS Integrated Intel Arc Graphics NPUIntegrated Intel AI Boostup to 11 TOPS Screen14 inch x360 convertible Touch screen 3440 1440 pixels ultrawide QHD Storage 1TB SSD NVMe RAM 8GB DDR5 6400 MTs Battery Life 10 hoursbattery life Key Features WiFi 6E 80211ax 2x2 BT53 FHD Front Camera 1080p IR with Privacy Shutter Face id login AudioPoly Studio White Backlit Keyboard Slim Lightweight design Full aluminum Body Price 108000 birr rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333 አድራሻ መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ wwwnevacomputercom ቴሌግራም ቻናላችንን ይቀላቀሉ httpstmenevacomputer,New Arrivals And Genuine 2024 14th Generation intel CORE ULTRA 5 HP ENVY 2024 Featuring the Latest Intel Core Ultra 5 Processor 155U 12M Cache up to 480 GHz 12 Core and 14 CPU Model Hp envy 16 x360 convertible Condition BRAND NEW GRAPHICS Integrated Intel Arc Graphics NPUIntegrated Intel AI Boostup to 11 TOPS Screen14 inch x360 convertible Touch screen 3440 1440 pixels ultrawide QHD Storage 1TB SSD NVMe RAM 8GB DDR5 6400 MTs Battery Life 10 hoursbattery life Key Features WiFi 6E 80211ax 2x2 BT53 FHD Front Camera 1080p IR with Privacy Shutter Face id login AudioPoly Studio White Backlit Keyboard Slim Lightweight design Full aluminum Body Price 108000 birr rasneva ለአጭር መልእክት ይደዉሉ 251912759900 251920153333 አድራሻ መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ wwwnevacomputercom ቴሌግራም ቻናላችንን ይቀላቀሉ httpstmenevacomputer
